ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
65961,с.,Седлари,KRZ,KRZ21,KRZ21-21,3,7,5,1864,08,4214
70771,с.,Седларци,KRZ,KRZ02,KRZ02-00,3,8,6,1864,08,4215
65975,с.,Седловина,KRZ,KRZ16,KRZ16-31,3,6,4,1864,08,4216
65989,с.,Седянковци,GAB,GAB05,GAB05-00,3,8,6,1864,07,4217
65992,с.,Сейдол,RAZ,RAZ17,RAZ17-21,3,6,5,1864,16,4218
66007,с.,Сейковци,GAB,GAB05,GAB05-00,3,8,6,1864,07,4219
66010,с.,Сеймените,VTR,VTR04,VTR04-00,3,8,6,1864,04,4220
66024,с.,Секирка,KRZ,KRZ14,KRZ14-35,3,8,6,1864,08,4221
66038,с.,Секулово,SLS,SLS10,SLS10-21,3,5,4,1864,18,4222
70723,с.,Селановци,VRC,VRC31,VRC31-06,3,5,2,1871,06,4223
66041,с.,Селиминово,SLV,SLV20,SLV20-34,3,5,4,1864,19,4224
66055,с.,Селище,BLG,BLG03,BLG03-00,3,7,6,1864,01,4225
66069,с.,Селище,SML,SML31,SML31-00,3,8,8,1864,20,4226
70799,с.,Селище,GAB,GAB29,GAB29-00,3,7,5,1864,07,4227
66072,с.,Селищен дол,PER,PER32,PER32-00,3,7,7,1864,13,4228
66086,с.,Селска поляна,HKV,HKV18,HKV18-00,3,8,5,1864,26,4229
66103,с.,Селце,SZR,SZR22,SZR22-00,3,8,7,1864,23,4231
66113,с.,Селце,DOB,DOB17,DOB17-00,3,7,3,1864,24,4232
66127,с.,Селци,PDV,PDV28,PDV28-10,3,7,3,1864,15,4233
66130,с.,Селча,SML,SML09,SML09-11,3,6,8,1864,20,4234
66144,с.,Селянин,SFO,SFO20,SFO20-06,3,8,7,1864,22,4235
66158,с.,Семерджиево,RSE,RSE27,RSE27-07,3,5,3,1864,17,4236
66161,с.,Семерджиите,GAB,GAB05,GAB05-00,3,8,5,1864,07,4237
66175,с.,Семерци,TGV,TGV02,TGV02-00,3,7,5,1864,25,4238
66189,с.,Семковци,VTR,VTR04,VTR04-00,3,8,6,1864,04,4239
66202,с.,Семчиново,PAZ,PAZ29,PAZ29-12,3,5,5,1864,12,4240
66216,с.,Сенник,GAB,GAB29,GAB29-25,3,6,5,1864,07,4241
66229,гр.,Сеново,RSE,RSE05,RSE05-08,1,5,3,1864,17,4242
66233,с.,Сеноклас,HKV,HKV18,HKV18-00,3,8,4,1864,26,4243
66247,с.,Сенокос,BLG,BLG44,BLG44-00,3,8,7,1864,01,4244
66250,с.,Сенокос,DOB,DOB03,DOB03-14,3,6,4,1864,24,4245
70785,с.,Сенце,KRZ,KRZ21,KRZ21-16,3,8,6,1864,08,4246
66264,гр.,Септември,PAZ,PAZ29,PAZ29-00,1,3,4,1864,12,4247
16184,с.,Септемврийци,MON,MON11,MON11-03,3,5,2,1864,11,4248
66278,с.,Септемврийци,VID,VID16,VID16-00,3,7,2,1864,05,4249
66281,с.,Септемврийци,DOB,DOB17,DOB17-15,3,6,2,1864,24,4250
66295,с.,Сеслав,RAZ,RAZ16,RAZ16-11,3,6,3,1864,16,4251
66319,с.,Сестримо,PAZ,PAZ04,PAZ04-06,3,5,6,1864,12,4252
66336,с.,Сестринско,KRZ,KRZ16,KRZ16-19,3,8,5,1864,08,4253
66344,с.,Сечен камък,GAB,GAB35,GAB35-04,3,8,6,1864,07,4254
66353,с.,Сечище,SHU,SHU22,SHU22-00,3,8,5,1871,27,4255
66398,с.,Сив кладенец,HKV,HKV11,HKV11-00,3,8,2,1864,26,4256
66370,с.,Сива река,HKV,HKV28,HKV28-00,3,7,3,1864,26,4257
66384,с.,Сивино,SML,SML31,SML31-00,3,7,8,1864,20,4258
66408,с.,Сигмен,BGS,BGS09,BGS09-00,3,7,3,1864,02,4259
66411,с.,Силен,HKV,HKV30,HKV30-30,3,7,5,1864,26,4260
66425,гр.,Силистра,SLS,SLS31,SLS31-00,1,2,1,1864,18,4261
47278,гр.,Симеоновград,HKV,HKV29,HKV29-00,1,3,3,1864,26,4262
66439,с.,Симеоновец,PAZ,PAZ29,PAZ29-13,3,5,5,1864,12,4263
66456,с.,Симеоново,JAM,JAM25,JAM25-00,3,6,3,1864,28,4264
66460,гр.,Симитли,BLG,BLG44,BLG44-00,1,3,4,1864,01,4265
66473,с.,Синаговци,VID,VID09,VID09-00,3,6,2,1864,05,4266
66487,с.,Синапово,HKV,HKV32,HKV32-13,3,6,3,1864,26,4267
66490,с.,Синдел,VAR,VAR01,VAR01-12,3,5,1,1864,03,4268
66500,с.,Синделци,KRZ,KRZ21,KRZ21-22,3,7,5,1864,08,4269
66528,с.,Синеморец,BGS,BGS13,BGS13-00,3,6,2,1864,02,4270
66531,с.,Сини вир,SHU,SHU18,SHU18-10,3,6,5,1864,27,4271
70737,с.,Сини връх,PDV,PDV01,PDV01-00,3,8,8,1864,15,4272
80296,с.,Сини рид,BGS,BGS18,BGS18-34,3,7,5,1864,02,4273
66545,с.,Синигер,KRZ,KRZ15,KRZ15-38,3,8,6,1864,08,4274
66559,с.,Синитово,PAZ,PAZ19,PAZ19-25,3,5,3,1864,12,4275
66562,с.,Синчец,KRZ,KRZ02,KRZ02-21,3,8,7,1864,08,4276
66576,с.,Синьо бърдо,VRC,VRC32,VRC32-06,3,7,4,1864,06,4277
66585,с.,Синьо камене,BGS,BGS06,BGS06-00,3,8,3,1864,02,4278
66593,с.,Синя вода,RAZ,RAZ17,RAZ17-22,3,5,5,1864,16,4279
66603,с.,Сипей,KRZ,KRZ16,KRZ16-32,3,6,5,1864,08,4280
70809,с.,Сипец,KRZ,KRZ08,KRZ08-09,3,8,6,1864,08,4281
66617,с.,Сираково,VRC,VRC05,VRC05-00,3,7,3,1864,06,4282
66620,с.,Сираково,DOB,DOB12,DOB12-00,3,8,3,1864,24,4283
66634,с.,Сираково,HKV,HKV19,HKV19-00,3,7,5,1864,26,4284
66648,с.,Сирищник,PER,PER22,PER22-00,3,7,6,1864,13,4285
66651,с.,Ситово,PDV,PDV26,PDV26-00,3,8,8,1864,15,4286
66665,с.,Ситово,SLS,SLS32,SLS32-00,3,5,2,1864,18,4287
66679,с.,Ситово,JAM,JAM03,JAM03-00,3,8,5,1864,28,4288
66682,с.,Скала,BGS,BGS23,BGS23-19,3,8,5,1864,02,4289
66696,с.,Скала,SLS,SLS10,SLS10-00,3,7,4,1864,18,4290
66706,с.,Скалак,BGS,BGS18,BGS18-26,3,6,3,1864,02,4291
66716,с.,Скалак,KRZ,KRZ15,KRZ15-00,3,8,5,1864,08,4292
66723,с.,Скалина,KRZ,KRZ08,KRZ08-15,3,8,5,1864,08,4293
66737,с.,Скалица,JAM,JAM25,JAM25-35,3,6,3,1864,28,4294
66740,с.,Скалище,KRZ,KRZ16,KRZ16-33,3,7,4,1864,08,4295
66754,с.,Скална глава,KRZ,KRZ16,KRZ16-34,3,7,6,1864,08,4296
66768,с.,Скалско,GAB,GAB12,GAB12-00,3,8,5,1864,07,4297
66771,с.,Скандалото,LOV,LOV02,LOV02-00,3,8,5,1864,10,4298
66785,с.,Склаве,BLG,BLG40,BLG40-37,3,5,3,1864,01,4299
66799,с.,Скобелево,LOV,LOV18,LOV18-00,3,7,4,1864,10,4300
66809,с.,Скобелево,PDV,PDV26,PDV26-00,3,8,8,1864,15,4301
66812,с.,Скобелево,SLV,SLV20,SLV20-35,3,7,3,1864,19,4302
66826,с.,Скобелево,SZR,SZR24,SZR24-09,3,6,6,1864,23,4303
66831,с.,Скобелево,HKV,HKV09,HKV09-21,3,7,3,1864,26,4304
66843,с.,Скомля,VID,VID16,VID16-00,3,8,4,1864,05,4305
66857,с.,Скорците,GAB,GAB35,GAB35-00,3,8,6,1864,07,4306
66860,с.,Скравена,SFO,SFO07,SFO07-11,3,5,5,1864,22,4307
66874,с.,Скребатно,BLG,BLG13,BLG13-00,3,7,7,1864,01,4308
66888,с.,Скрино,KNL,KNL05,KNL05-00,3,8,6,1864,09,4309
66891,с.,Скриняно,KNL,KNL29,KNL29-00,3,7,6,1864,09,4310
66901,с.,Скрът,BLG,BLG33,BLG33-39,3,5,5,1864,01,4311
66915,с.,Скутаре,PDV,PDV17,PDV17-14,3,5,3,1864,15,4312
66929,с.,Скърбино,KRZ,KRZ16,KRZ16-35,3,7,5,1864,08,4313
66932,с.,Славеево,HKV,HKV11,HKV11-00,3,7,2,1864,26,4314
66946,с.,Славеево,DOB,DOB15,DOB15-00,3,7,4,1864,24,4315
66963,с.,Славейково,VAR,VAR24,VAR24-17,3,7,3,1864,03,4316
66977,с.,Славейково,GAB,GAB12,GAB12-00,3,8,5,1864,07,4317
66980,с.,Славейково,JAM,JAM07,JAM07-12,3,8,4,1864,28,4318
66957,с.,Славейно,SML,SML31,SML31-00,3,6,8,1864,20,4319
